Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
AORT,Artivion,Health Care,54.06,89.2,18.7,1.22B,1553457024.0,0.36656018545463226,1.07%,0.011039832910637029,0.14460834296331543,0.12127091462309642,0.2521582169204207,0.0,20.35%,-38.3%,95.8,
AGX,"Argan, Inc.",Industrials,54.01,35.9,69.3,5.8B,4787175936.0,0.07963571884902584,8.06%,0.11613228429288391,0.1491351949913509,0.41869851128939867,0.5009749081029248,0.0,32.17%,0.19%,55.9,
LNC,Lincoln Financial,Financials,53.73,99.7,50.0,8.39B,-28928948224.0,,,,,,,,75.27%,10.46%,40.2,金融・不動産セクター特化評価
BL,"BlackLine Systems, Inc.",Information Technology,53.67,83.8,71.3,1.65B,1835124352.0,0.20167229630009384,8.41%,0.013934490050974158,0.14978291813422384,-0.035899017882386974,-0.4292087638260945,1.0,10.47%,-26.42%,90.4,
APLE,"Apple Hospitality REIT, Inc.",Real Estate,53.55,29.5,75.0,3.67B,5265591808.0,0.8576739775058612,9.83%,0.03577267084140968,0.31891494251571456,-0.013630400489343893,-0.06812906269007493,1.0,73.09%,32.21%,18.6,金融・不動産セクター特化評価
COTY,Coty,Consumer Staples,53.52,21.9,87.0,2.38B,5887053312.0,1.3175254841339326,15.26%,-0.059291792478726325,0.009678641545827163,-0.14337781435541708,-0.814030443414957,1.0,32.12%,8.0%,43.7,
EZPW,"EZCORP, Inc.",Financials,53.51,72.1,12.0,2.0B,2499019520.0,0.5140104362716941,-0.55%,0.05617696515339976,0.15878770756819538,0.30669746329618136,0.24699559970911242,1.0,77.41%,33.4%,17.4,金融・不動産セクター特化評価
BLKB,Blackbaud,Information Technology,53.5,57.8,77.7,2.06B,3156350208.0,0.041201516239049565,10.37%,0.04809087950635007,0.2534357233696543,-0.042194711538461535,3.1157269371055687,0.0,44.09%,-4.67%,63.3,
ABM,"ABM Industries, Inc.",Industrials,53.31,37.1,74.3,2.9B,4668919296.0,0.6162938008177313,9.71%,0.03081886326975994,0.048239746624132454,0.033802872165110256,0.29735547355473557,0.0,87.02%,15.4%,34.4,
CTS,CTS Corporation,Information Technology,53.22,88.6,42.3,1.65B,1633827840.0,0.3340157613530758,4.37%,0.08545866800294645,0.2265174998799227,-0.0014580097122259862,0.18198555991478615,0.0,65.1%,1.78%,52.7,
CLSK,"CleanSpark, Inc.",Information Technology,53.19,31.4,21.0,3.51B,5094984192.0,0.6195726327566078,1.39%,0.11448060406498115,0.9959951142743053,0.6220984560764921,51.16629075251179,0.0,36.32%,46.83%,12.5,
HMN,Horace Mann Educators Corporation,Financials,53.18,74.6,79.7,1.98B,2340036352.0,0.7506442975374776,11.27%,0.010617950296726186,,0.05375557365507531,,,52.42%,15.8%,33.4,金融・不動産セクター特化評価
ALG,Alamo Group,Industrials,53.08,78.1,42.7,2.06B,2141729792.0,0.5582008645037869,4.44%,0.06460846898076454,0.13079630732393224,0.10779787889088926,-0.060467616232195646,1.0,31.46%,-18.85%,82.0,
BKU,"BankUnited, Inc.",Financials,53.07,32.7,50.0,3.19B,5051588096.0,0.9573792018998597,,0.0076585960208109425,,-0.005740096502607618,,,56.91%,-6.02%,65.3,金融・不動産セクター特化評価
CCS,"Century Communities, Inc.",Consumer Discretionary,53.02,54.3,43.3,1.72B,3324130816.0,1.5056734250012698,4.54%,0.033094276883200165,0.05722086659530198,-0.016012674761145793,-0.4897506193371793,1.0,46.18%,-14.98%,78.8,
IBP,"Installed Building Products, Inc.",Consumer Discretionary,52.95,19.7,49.7,5.43B,6198824960.0,0.13074642143710943,5.32%,0.1283365570599613,0.1796149185404605,0.003932229719889315,0.030513711857860178,0.0,7.17%,-38.4%,96.1,
ABG,Asbury Automotive Group,Consumer Discretionary,52.92,7.9,73.7,3.74B,9223175168.0,1.0398147348942213,9.63%,0.04234735156908988,0.05685315850880605,0.12394311695849859,0.1131295550962689,1.0,42.07%,-10.92%,73.3,
